"ID,Month,Year,Edits"
"454,9,2008,57"
"201,10,2013,23"
"65,3,2012,58"
"174,11,2007,1"
"279,6,2006,17"
"287,8,2006,70"
"191,2,2012,95"
"101,3,2007,5"
"44,12,2010,95"
"420,10,2005,3"
"209,2,2007,69"
"180,3,2011,93"
"370,1,2012,72"
"346,5,2009,84"
"26,12,2014,81"
"342,9,2011,71"
"269,7,2008,5"
"116,2,2013,37"
"137,1,2006,38"
"261,9,2010,100"
"246,8,2013,2"
"65,8,2012,78"
"343,5,2014,10"
"79,10,2008,86"
"449,5,2013,56"
"122,1,2006,83"
"41,12,2007,89"
"80,3,2012,48"
"368,5,2012,95"
"119,9,2010,70"
"460,8,2009,75"
"246,10,2006,53"
"49,10,2006,59"
"210,8,2010,75"
"62,4,2010,73"
"303,9,2013,14"
"475,3,2010,94"
"310,12,2007,85"
"198,1,2012,59"
"418,9,2013,8"
"36,10,2013,79"
"104,11,2008,19"
"223,7,2009,71"
"225,1,2009,54"
"355,7,2013,63"
"168,4,2009,88"
"43,12,2007,87"
"162,10,2011,15"
"7,2,2010,71"
"260,10,2007,76"
"228,11,2009,78"
"469,5,2013,41"
"421,11,2012,43"
"59,6,2007,77"
"266,2,2009,99"
"384,10,2013,53"
"213,12,2012,52"
"290,5,2005,39"
"350,8,2005,34"
"205,10,2007,17"
"24,5,2014,18"
"485,2,2011,78"
"300,2,2013,33"
"226,5,2006,40"
"486,3,2007,13"
"210,7,2008,30"
"269,4,2009,77"
"311,8,2005,64"
"397,9,2012,39"
"39,4,2011,25"
"288,12,2008,8"
"306,3,2006,43"
"287,4,2011,31"
"72,9,2013,87"
"60,1,2012,36"
"180,11,2014,84"
"127,9,2012,27"
"277,11,2007,44"
"122,12,2008,54"
"374,8,2013,54"
"19,9,2014,50"
"179,11,2005,80"
"431,10,2014,73"
"357,6,2008,38"
"146,11,2005,41"
"15,1,2014,69"
"419,11,2012,35"
"459,7,2013,93"
"359,1,2014,5"
"393,9,2005,63"
"346,12,2006,92"
"308,11,2013,19"
"331,2,2010,14"
"53,8,2008,26"
"479,12,2009,88"
"325,1,2012,44"
"498,8,2011,56"
"440,2,2014,59"
"66,9,2009,97"
"410,4,2010,17"
"333,3,2009,45"
"355,9,2009,86"
"424,4,2009,29"
"260,6,2008,67"
"420,10,2011,77"
"301,7,2011,27"
"315,11,2007,26"
"374,5,2009,58"
"45,12,2013,79"
"9,3,2010,84"
"89,1,2010,45"
"388,2,2010,30"
"110,4,2010,1"
"284,4,2011,13"
"364,6,2013,42"
"22,8,2010,61"
"442,7,2007,35"
"495,8,2009,30"
"279,5,2013,53"
"420,8,2007,21"
"127,5,2010,62"
"470,1,2008,28"
"301,12,2008,27"
"441,11,2014,5"
"96,3,2005,14"
"140,10,2014,99"
"124,3,2008,32"
"62,2,2011,48"
"188,10,2009,56"
"493,2,2014,72"
"455,11,2005,41"
"471,4,2011,4"
"440,9,2014,68"
"33,10,2014,91"
"355,12,2005,83"
"113,10,2010,40"
"76,9,2009,90"
"161,2,2012,72"
"465,10,2013,13"
"151,8,2009,60"
"326,8,2005,88"
"251,4,2007,21"
"245,3,2006,57"
"224,1,2012,55"
"115,8,2008,1"
"412,2,2008,82"
"491,10,2012,42"
"438,2,2014,71"
"4,4,2010,62"
"320,11,2007,7"
"293,8,2011,63"
"413,10,2009,38"
"398,3,2014,20"
"429,6,2013,29"
"238,9,2006,73"
"13,9,2007,4"
"292,9,2012,95"
"241,12,2011,4"
"32,7,2014,92"
"258,7,2012,29"
"353,8,2009,96"
"308,10,2007,21"
"465,5,2010,34"
"430,12,2010,79"
"358,8,2010,51"
"130,8,2005,40"
"249,5,2005,21"
"472,6,2014,81"
"306,5,2009,24"
"256,1,2014,26"
"37,1,2007,60"
"14,12,2011,84"
"249,4,2014,9"
"87,4,2005,35"
"400,12,2010,37"
"155,4,2005,60"
"223,9,2009,77"
"171,5,2007,92"
"53,2,2010,12"
"277,9,2005,78"
"377,9,2009,41"
"372,11,2006,73"
"406,3,2013,41"
"455,12,2011,19"
"364,12,2014,86"
"283,12,2009,79"
"181,7,2012,33"
"339,7,2008,31"
"467,12,2014,57"
"65,12,2012,26"
"42,11,2011,64"
"380,8,2006,67"
"4,3,2012,44"
"373,3,2011,59"
"278,4,2009,32"
"24,5,2008,70"
"494,3,2014,2"
"238,10,2005,58"
"345,2,2013,67"
"70,10,2014,22"
"467,5,2008,95"
"421,1,2014,64"
"432,1,2008,100"
"364,12,2008,79"
"386,12,2010,3"
"294,10,2008,37"
"334,7,2005,10"
"496,3,2008,6"
"442,10,2014,34"
"379,4,2007,38"
"421,11,2008,37"
"314,8,2012,86"
"328,11,2006,45"
"435,12,2005,35"
"229,2,2012,96"
"236,11,2008,37"
"88,11,2011,69"
"199,6,2011,17"
"47,1,2005,33"
"436,9,2008,43"
"120,2,2010,95"
"491,11,2006,80"
"395,4,2008,85"
"245,2,2010,80"
"430,10,2010,33"
"109,8,2014,37"
"302,3,2009,54"
"192,10,2013,26"
"28,7,2011,26"
"220,12,2005,52"
"91,7,2006,46"
"202,11,2011,56"
"467,1,2012,90"
"313,10,2012,34"
"389,1,2011,16"
"104,9,2005,63"
"219,5,2006,69"
"336,12,2013,20"
"322,2,2013,3"
"104,3,2009,20"
"31,4,2008,23"
"327,11,2006,73"
"328,12,2011,80"
"74,4,2010,6"
"114,1,2006,70"
"44,8,2008,22"
"307,10,2012,91"
"16,6,2014,95"
"87,1,2014,93"
"442,4,2009,100"
"392,3,2013,5"
"367,12,2012,75"
"467,2,2009,77"
"104,7,2006,59"
"366,1,2011,59"
"400,12,2013,3"
"182,2,2008,31"
"328,1,2005,48"
"492,7,2005,12"
"167,4,2008,74"
"345,12,2008,39"
"264,12,2012,7"
"204,2,2011,2"
"281,1,2006,38"
"8,6,2011,18"
"15,2,2009,9"
"161,6,2009,53"
"82,2,2007,64"
"9,3,2012,67"
"8,2,2010,55"
"252,1,2005,29"
"427,4,2005,14"
"6,6,2014,81"
"356,3,2006,92"
"390,6,2013,58"
"472,4,2006,43"
"446,4,2009,26"
"224,6,2012,1"
"47,2,2009,39"
"158,10,2007,90"
"148,1,2012,33"
"368,3,2009,15"
"359,2,2013,78"
"37,7,2009,60"
"169,10,2012,28"
"447,8,2011,86"
"328,10,2012,33"
"437,11,2012,58"
"229,7,2012,29"
"117,12,2012,95"
"61,3,2005,87"
"25,3,2006,19"
"297,9,2006,56"
"175,3,2007,43"
"340,12,2005,86"
"330,11,2012,89"
"137,8,2010,14"
"424,12,2009,37"
"479,12,2009,66"
"235,11,2007,25"
"366,9,2010,98"
"434,5,2010,46"
"1,5,2014,55"
"92,9,2008,73"
"220,9,2013,91"
"161,11,2006,43"
"166,9,2009,70"
"165,5,2013,12"
"425,11,2008,4"
"390,12,2007,69"
"78,3,2006,59"
"386,6,2008,53"
"391,8,2006,85"
"124,3,2006,27"
"261,10,2013,27"
"37,11,2013,17"
"445,6,2011,43"
"465,1,2010,74"
"124,8,2008,27"
"322,2,2008,77"
"386,8,2009,55"
"336,2,2013,75"
"408,7,2014,99"
"421,6,2014,93"
"79,10,2008,13"
"16,4,2011,59"
"321,8,2010,22"
"370,5,2005,49"
"240,10,2008,78"
"243,9,2009,97"
"80,9,2012,23"
"231,1,2012,6"
"174,8,2013,30"
"63,8,2012,82"
"49,1,2013,33"
"403,3,2009,61"
"181,8,2006,78"
"184,12,2011,31"
"240,7,2009,14"
"488,2,2009,78"
"394,3,2006,1"
"198,2,2012,57"
"179,1,2006,16"
"225,11,2010,65"
"405,9,2005,50"
"238,11,2007,71"
"101,6,2014,81"
"292,3,2013,59"
"396,7,2014,27"
"293,10,2005,14"
"187,11,2008,62"
"348,10,2006,1"
"82,5,2007,14"
"170,1,2009,96"
"294,9,2014,87"
"495,5,2012,59"
"144,4,2011,95"
"164,8,2007,43"
"54,3,2007,92"
"24,4,2014,69"
"73,4,2014,3"
"241,4,2008,89"
"375,12,2007,53"
"21,8,2005,36"
"356,11,2009,66"
"311,12,2009,39"
"95,2,2012,33"
"393,5,2012,77"
"372,7,2006,13"
"413,6,2006,12"
"281,11,2014,78"
"158,11,2014,64"
"374,7,2012,60"
"225,5,2005,82"
"47,7,2008,37"
"495,8,2014,45"
"398,5,2011,99"
"375,7,2005,24"
"135,10,2012,20"
"350,8,2007,45"
"174,8,2012,12"
"312,8,2013,87"
"357,6,2009,77"
"177,3,2013,69"
"84,3,2013,2"
"123,5,2008,13"
"46,2,2012,43"
"16,5,2011,13"
"131,10,2005,10"
"190,1,2008,68"
"489,8,2010,9"
"313,4,2009,29"
"137,11,2008,45"
"485,2,2013,6"
"13,2,2013,60"
"134,11,2013,67"
"345,2,2006,87"
"57,4,2010,24"
"140,11,2006,100"
"205,3,2010,98"
"17,3,2008,61"
"469,4,2012,49"
"324,3,2009,11"
"118,10,2005,98"
"325,3,2014,22"
"279,1,2013,99"
"465,1,2005,99"
"11,6,2011,14"
"37,7,2013,17"
"366,8,2005,33"
"452,7,2012,27"
"285,5,2010,28"
"450,10,2011,85"
"289,7,2010,61"
"108,10,2008,17"
"441,11,2014,86"
"208,9,2013,90"
"198,9,2011,46"
"140,12,2013,24"
"172,5,2005,80"
"76,1,2006,69"
"119,3,2013,98"
"410,12,2012,91"
"444,8,2013,22"
"291,7,2005,47"
"136,10,2010,64"
"309,2,2013,99"
"409,6,2013,14"
"160,6,2013,12"
"141,5,2010,41"
"451,5,2007,53"
"352,11,2011,87"
"13,4,2011,45"
"63,6,2012,63"
"334,7,2011,40"
"73,12,2012,26"
"465,9,2011,34"
"487,5,2012,4"
"125,4,2008,97"
"321,8,2010,83"
"455,12,2011,59"
"468,10,2008,87"
"236,1,2006,42"
"292,11,2006,7"
"88,8,2013,22"
"25,10,2013,94"
"467,6,2006,54"
"479,9,2008,15"
"456,4,2006,94"
"268,10,2006,20"
"21,11,2014,42"
"418,2,2013,79"
"140,1,2009,57"
"219,9,2013,83"
"290,9,2013,42"
"458,8,2009,20"
"76,3,2007,78"
"201,9,2014,62"
"12,9,2014,63"
"14,2,2007,21"
"118,7,2014,38"
"8,2,2013,31"
"476,11,2010,49"
"154,10,2006,44"
"488,5,2012,26"
"328,9,2009,33"
"170,8,2008,14"
"2,7,2007,93"
"449,6,2009,98"
"90,5,2007,35"
"301,8,2014,24"
"462,3,2011,65"
"179,7,2010,94"
"449,8,2005,5"
"142,11,2011,6"
"173,5,2012,31"
"169,3,2013,56"
"291,10,2013,33"
"27,6,2008,7"
"40,7,2014,77"
"13,11,2012,15"
"196,11,2010,70"
"69,6,2008,84"
"270,4,2008,7"
"223,1,2009,65"
"145,4,2005,70"
"313,11,2012,77"
"278,5,2014,18"
"179,7,2005,49"
"124,10,2009,92"
"473,2,2005,95"
"218,11,2013,9"
"410,12,2005,4"
"202,8,2010,74"
"276,2,2007,10"
"381,10,2007,6"
"325,11,2014,27"
"479,8,2006,52"
"373,2,2008,16"
"286,7,2013,13"
"30,12,2013,62"
"195,6,2014,61"
"458,4,2010,48"
"46,10,2012,75"
"341,9,2011,21"
"140,6,2011,92"
"62,2,2009,34"
"44,12,2014,99"
"48,2,2010,58"
"88,6,2005,20"
"427,11,2009,36"
"71,1,2009,60"
"42,3,2006,49"
"150,9,2006,41"
"215,10,2008,86"
"5,2,2005,56"
"340,5,2011,69"
"233,7,2008,41"
"102,1,2005,44"
"5,7,2008,32"
"313,4,2010,92"
"135,2,2006,79"
"117,11,2005,80"
"53,4,2010,70"
"369,6,2011,31"
"158,3,2009,45"
"83,10,2010,8"
"312,3,2011,45"
"484,9,2012,65"
"145,4,2012,19"
"19,11,2006,47"
"16,7,2007,66"
"391,7,2013,91"
"458,8,2014,60"
"139,8,2009,83"
"404,2,2012,26"
"463,5,2011,1"
"25,9,2013,43"
"297,1,2009,79"
"274,7,2009,64"
"290,10,2013,13"
"231,2,2006,43"
"13,9,2007,2"
"69,8,2010,14"
"84,4,2014,23"
"487,11,2005,92"
"376,10,2010,69"
"99,4,2012,100"
"239,10,2014,98"
"256,11,2005,80"
"281,4,2013,12"
"410,12,2008,11"
"34,10,2007,88"
"239,12,2013,35"
"19,4,2007,9"
"198,10,2007,27"
"490,8,2008,86"
"460,1,2007,17"
"176,6,2008,78"
"461,8,2006,80"
"26,4,2005,23"
"121,4,2012,54"
"95,6,2012,98"
"233,4,2006,43"
"249,2,2014,100"
"397,10,2011,48"
"421,9,2012,80"
"492,10,2013,37"
"362,12,2013,78"
"145,1,2010,91"
"431,8,2007,28"
"478,3,2007,29"
"79,10,2007,41"
"201,11,2007,79"
"17,7,2008,53"
"425,7,2008,58"
"94,5,2005,69"
"303,1,2005,52"
"307,3,2006,57"
"278,11,2010,14"
"369,8,2007,68"
"453,7,2013,64"
"351,11,2011,85"
"26,3,2006,35"
"4,4,2010,93"
"166,1,2008,63"
"60,2,2011,10"
"182,4,2011,28"
"253,2,2008,65"
"21,9,2013,5"
"408,6,2005,57"
"488,2,2009,16"
"375,7,2005,78"
"312,5,2010,38"
"377,5,2014,82"
"420,1,2007,5"
"243,6,2012,74"
"417,8,2012,36"
"394,7,2008,29"
"331,3,2005,81"
"480,1,2014,15"
"183,5,2009,59"
"95,8,2014,62"
"221,3,2011,55"
"94,3,2007,85"
"285,5,2008,59"
"24,2,2013,92"
"163,3,2008,78"
"193,6,2007,56"
"373,12,2005,61"
"389,4,2009,5"
"113,10,2007,8"
"106,2,2008,50"
"289,4,2013,17"
"155,7,2010,34"
"104,2,2013,7"
"374,6,2007,66"
"268,12,2012,59"
"411,12,2011,28"
"376,10,2007,58"
"91,1,2006,22"
"337,1,2008,25"
"262,7,2009,52"
"138,8,2008,56"
"490,10,2006,29"
"281,7,2014,23"
"286,12,2005,6"
"206,7,2011,79"
"187,10,2010,96"
"372,3,2011,37"
"326,5,2006,14"
"93,8,2007,85"
"253,1,2014,56"
"464,2,2011,68"
"289,1,2008,93"
"102,12,2011,10"
"127,8,2008,25"
"224,3,2006,60"
"437,9,2008,63"
"196,11,2011,78"
"316,12,2013,4"
"205,12,2005,73"
"333,6,2013,29"
"62,6,2008,90"
"165,4,2009,8"
"39,5,2006,66"
"406,7,2008,28"
"297,5,2008,15"
"242,9,2005,40"
"404,10,2011,60"
"449,11,2008,47"
"436,5,2010,29"
"412,1,2014,90"
"483,1,2011,94"
"230,12,2011,24"
"86,6,2013,92"
"243,10,2007,20"
"489,9,2005,76"
"21,12,2010,51"
"6,1,2014,66"
"305,11,2012,75"
"350,10,2009,14"
"188,7,2007,20"
"413,2,2014,37"
"24,7,2011,22"
"152,7,2012,73"
"406,2,2006,32"
"162,9,2006,16"
"403,2,2007,66"
"57,6,2013,61"
"357,8,2011,23"
"412,12,2012,31"
"148,10,2013,76"
"128,8,2014,23"
"263,8,2008,78"
"417,3,2012,65"
"330,7,2013,19"
"492,7,2009,31"
"300,12,2006,50"
"264,5,2010,88"
"332,1,2012,54"
"403,10,2013,54"
"425,2,2013,70"
"355,5,2008,40"
"215,1,2006,59"
"351,10,2013,76"
"189,2,2013,8"
"381,1,2011,21"
"183,7,2009,69"
"47,7,2005,86"
"123,4,2008,44"
"113,4,2010,37"
"142,12,2013,22"
"226,2,2008,80"
"69,10,2010,62"
"423,8,2005,87"
"126,8,2010,68"
"394,8,2014,83"
"50,7,2014,27"
"468,11,2010,60"
"305,9,2014,55"
"121,5,2012,91"
"399,1,2009,19"
"22,2,2008,88"
"327,5,2014,92"
"342,9,2005,53"
"332,2,2007,20"
"151,4,2010,32"
"366,2,2009,47"
"444,1,2013,97"
"336,1,2008,84"
"410,6,2011,29"
"461,1,2014,32"
"388,6,2011,64"
"288,10,2009,38"
"401,1,2011,75"
"117,1,2009,5"
"406,3,2012,42"
"107,8,2011,93"
"199,9,2006,35"
"354,4,2005,45"
"400,6,2006,12"
"347,1,2013,90"
"450,7,2010,84"
"289,10,2013,78"
"49,11,2013,2"
"48,2,2007,73"
"248,3,2011,88"
"438,7,2011,23"
"410,10,2012,53"
"356,5,2009,79"
"113,6,2011,83"
"86,7,2011,17"
"191,8,2008,33"
"404,9,2005,64"
"207,11,2009,18"
"441,12,2011,13"
"358,6,2009,91"
"188,9,2007,50"
"412,9,2006,92"
"393,6,2014,75"
"285,8,2005,39"
"194,7,2005,35"
"82,11,2011,35"
"356,5,2008,52"
"444,10,2011,22"
"149,6,2007,70"
"317,5,2008,55"
"465,6,2007,15"
"420,5,2005,64"
"123,3,2012,98"
"375,1,2008,69"
"170,6,2014,95"
"339,9,2011,86"
"78,3,2006,44"
"161,2,2006,29"
"355,8,2011,38"
"294,12,2008,53"
"222,10,2006,12"
"408,6,2005,15"
"320,5,2012,58"
"101,5,2010,32"
"108,4,2005,23"
"265,8,2006,100"
"298,7,2009,68"
"424,8,2014,28"
"127,10,2012,66"
"166,10,2007,72"
"109,8,2007,62"
"349,4,2006,78"
"202,9,2009,88"
"463,3,2009,97"
"58,7,2013,80"
"262,3,2006,98"
"499,1,2013,11"
"217,4,2007,42"
"182,6,2007,23"
"294,11,2008,5"
"309,3,2008,75"
"116,2,2012,88"
"68,12,2009,62"
"172,7,2008,72"
"17,6,2012,48"
"13,2,2006,20"
"186,12,2009,64"
"129,5,2005,22"
"464,9,2005,91"
"312,3,2008,65"
"375,7,2014,75"
"157,5,2010,8"
"262,10,2010,12"
"406,2,2008,1"
"173,1,2010,22"
"78,4,2012,23"
"115,3,2005,56"
"254,12,2005,80"
"204,11,2006,6"
"463,9,2011,19"
"393,12,2009,96"
"152,5,2009,23"
"248,5,2010,8"
"438,10,2005,89"
"31,5,2010,43"
"88,9,2013,50"
"302,4,2009,57"
"205,7,2009,66"
"195,8,2007,91"
"186,6,2009,21"
"358,8,2006,71"
"3,8,2014,89"
"427,12,2011,92"
"73,8,2014,73"
"253,6,2009,85"
"2,6,2014,3"
"179,2,2007,2"
"370,7,2012,31"
"112,7,2005,87"
"170,6,2005,97"
"216,11,2005,18"
"176,3,2013,70"
"302,6,2011,28"
"144,11,2007,4"
"497,3,2006,88"
"226,6,2007,97"
"109,12,2006,11"
"422,7,2011,83"
"325,6,2013,58"
"75,11,2006,14"
"8,7,2012,82"
"473,6,2010,63"
"117,6,2013,30"
"76,12,2006,22"
"297,6,2005,35"
"457,4,2012,21"
"342,2,2011,39"
"32,8,2007,59"
"380,9,2007,98"
"382,3,2011,98"
"105,11,2013,60"
"386,5,2007,88"
"177,2,2011,60"
"174,10,2008,5"
"288,6,2005,1"
"224,2,2005,55"
"301,9,2008,61"
"139,1,2014,3"
"422,11,2010,25"
"461,8,2013,50"
"492,10,2009,41"
"176,10,2008,81"
"450,10,2013,98"
"388,1,2008,44"
"303,10,2012,66"
"172,2,2014,40"
"174,12,2013,25"
"329,7,2010,20"
"31,9,2007,91"
"121,7,2006,67"
"53,2,2010,23"
"78,12,2010,55"
"63,4,2012,70"
"189,12,2007,19"
"36,4,2007,13"
"98,4,2011,6"
