ID,Date,Edits
372,3/2008,9
313,1/2011,94
299,1/2014,20
36,5/2012,97
19,7/2014,13
388,1/2014,17
177,6/2014,38
12,4/2007,34
280,2/2010,20
276,12/2013,83
104,8/2007,7
350,3/2009,74
293,6/2009,90
465,2/2008,98
362,7/2008,77
385,11/2011,64
30,1/2013,79
28,5/2010,14
171,5/2011,45
172,2/2013,26
216,10/2014,42
179,5/2011,32
28,3/2012,24
286,6/2009,50
279,11/2005,43
98,3/2012,16
176,7/2006,95
377,4/2005,68
446,7/2013,53
81,11/2008,26
21,1/2005,47
394,7/2006,27
32,11/2007,15
438,8/2007,77
263,4/2011,40
414,12/2006,43
301,7/2006,34
458,12/2008,65
78,11/2013,45
3,5/2007,42
52,3/2012,45
459,2/2010,58
289,6/2011,78
35,12/2012,39
170,11/2007,12
476,5/2010,22
492,12/2007,98
291,2/2005,30
205,1/2012,21
308,4/2009,85
394,1/2010,36
304,6/2008,3
362,4/2009,12
425,2/2009,93
220,3/2005,76
126,9/2013,91
59,4/2012,79
249,9/2008,60
51,6/2006,34
177,10/2005,77
336,10/2009,35
213,1/2007,62
201,9/2010,72
228,9/2013,83
494,7/2005,67
294,7/2011,64
367,4/2005,38
399,5/2013,36
319,6/2006,35
401,3/2014,15
318,6/2014,8
381,8/2008,50
410,12/2008,80
198,8/2006,99
492,2/2006,15
252,7/2009,93
267,4/2014,27
312,9/2005,52
278,7/2008,52
216,8/2011,42
38,9/2006,51
429,8/2007,6
161,6/2012,58
106,1/2006,46
365,9/2011,69
397,8/2009,69
449,4/2008,35
395,8/2008,15
479,5/2007,55
46,8/2005,43
102,2/2014,79
231,3/2005,1
292,5/2014,77
223,11/2012,86
366,11/2008,93
210,6/2005,7
231,7/2011,8
149,11/2011,84
309,2/2012,66
318,2/2014,37
101,4/2006,80
471,3/2014,6
413,6/2012,84
459,9/2013,63
369,8/2008,34
138,7/2014,21
149,3/2008,52
200,1/2006,87
28,9/2006,91
121,9/2005,51
96,4/2011,44
446,4/2011,63
497,4/2007,88
260,12/2007,77
98,4/2010,72
8,3/2005,3
185,1/2011,36
143,2/2005,8
36,8/2007,44
137,1/2012,53
2,1/2013,23
446,7/2013,98
325,12/2005,32
203,10/2011,8
383,12/2012,13
448,9/2011,59
410,11/2011,25
101,10/2008,99
298,6/2011,95
280,3/2010,52
419,9/2014,32
472,8/2006,34
125,3/2012,37
134,12/2009,22
300,8/2014,71
487,6/2014,83
246,12/2005,14
3,7/2011,73
87,10/2008,63
404,1/2010,11
129,1/2008,37
387,6/2006,93
291,7/2013,85
428,11/2009,26
320,7/2011,94
452,4/2008,87
6,1/2013,35
211,11/2007,5
478,1/2014,12
104,1/2010,81
440,4/2013,100
333,12/2012,42
129,1/2012,85
325,11/2005,12
188,12/2011,58
77,7/2014,85
408,2/2007,9
4,4/2013,47
81,4/2012,72
299,4/2013,69
165,1/2005,72
499,4/2007,17
42,2/2011,55
104,10/2013,31
348,5/2013,51
393,10/2007,43
442,8/2010,72
39,1/2012,44
356,8/2006,85
400,7/2011,27
228,6/2012,97
125,12/2007,27
146,5/2005,67
439,8/2007,81
366,2/2012,60
110,1/2010,1
421,6/2010,43
178,2/2010,64
17,10/2012,73
270,9/2009,9
29,5/2010,56
330,5/2008,34
457,3/2011,10
190,3/2010,60
296,9/2012,15
118,7/2014,26
495,1/2014,9
172,4/2014,9
459,8/2005,99
291,12/2010,27
125,11/2009,19
83,5/2011,3
429,7/2010,30
461,6/2009,22
386,9/2008,33
248,2/2014,63
491,10/2009,9
151,7/2005,85
288,1/2010,60
462,2/2012,18
472,11/2007,79
418,4/2014,18
446,8/2006,2
468,2/2011,76
452,9/2014,67
255,2/2011,71
250,12/2008,79
361,1/2008,62
8,4/2013,59
21,4/2009,47
327,2/2005,91
379,7/2009,11
357,5/2012,85
34,1/2009,2
216,7/2009,34
52,8/2012,97
239,8/2011,53
89,8/2009,23
494,4/2008,22
422,11/2005,24
284,1/2014,45
338,12/2008,67
477,3/2012,21
181,5/2010,44
426,9/2008,34
191,8/2014,64
195,9/2011,4
210,4/2012,60
133,8/2014,70
110,2/2008,20
453,4/2011,93
289,2/2007,79
410,10/2006,100
96,1/2007,11
38,12/2013,26
288,6/2010,50
13,8/2009,32
136,4/2012,86
234,11/2009,65
132,12/2011,52
203,6/2008,12
34,2/2010,57
144,7/2013,17
88,2/2007,91
341,8/2011,56
492,6/2013,45
200,12/2012,21
320,3/2012,44
217,11/2005,96
239,2/2010,28
273,1/2010,7
25,8/2005,74
339,10/2007,14
27,2/2009,96
318,5/2011,62
117,11/2006,40
319,11/2009,71
384,7/2005,18
65,7/2008,34
231,5/2013,72
145,9/2012,16
133,1/2007,24
217,12/2009,31
50,9/2008,65
169,9/2008,87
431,11/2006,13
109,6/2013,65
164,5/2012,81
255,3/2013,98
319,12/2010,16
338,8/2013,55
207,1/2012,44
244,11/2009,39
153,5/2011,5
392,6/2005,6
190,1/2006,72
39,6/2008,14
16,8/2010,27
330,3/2009,58
413,9/2014,78
423,1/2007,64
28,8/2009,41
12,7/2010,52
329,8/2008,55
348,2/2012,98
39,11/2011,64
378,9/2012,87
40,11/2010,32
80,12/2007,50
485,6/2014,5
468,7/2006,97
283,9/2006,32
342,1/2006,42
483,9/2008,25
193,10/2014,41
455,11/2011,51
263,3/2007,72
50,2/2013,16
445,5/2008,47
23,10/2006,4
469,9/2010,13
470,12/2006,8
443,7/2005,92
398,5/2011,97
207,1/2009,19
73,9/2014,51
131,6/2007,32
261,2/2012,19
147,9/2011,9
191,2/2013,20
497,12/2007,42
487,6/2009,1
380,11/2007,21
107,11/2010,41
226,7/2008,55
296,11/2007,50
496,7/2007,2
323,1/2009,85
329,10/2012,91
425,11/2012,79
203,9/2014,43
429,2/2013,25
307,8/2012,18
38,12/2010,87
273,5/2008,17
54,2/2007,59
44,10/2010,59
436,11/2011,97
389,5/2005,81
330,1/2010,78
411,5/2012,60
406,7/2014,40
47,3/2009,42
318,12/2006,34
400,3/2011,97
234,8/2006,67
366,1/2010,98
191,2/2008,93
48,8/2010,14
84,2/2009,52
359,11/2013,35
267,12/2012,84
473,7/2007,44
230,5/2006,35
213,1/2013,58
424,11/2013,52
441,4/2014,75
312,5/2012,92
330,3/2009,64
313,4/2013,45
446,9/2011,83
261,5/2014,13
302,2/2013,74
421,11/2005,81
296,3/2010,69
183,5/2007,95
23,9/2008,43
461,11/2012,86
250,7/2010,42
479,9/2013,8
246,2/2012,96
34,1/2008,32
51,7/2011,3
400,5/2014,89
357,1/2006,59
160,6/2014,78
5,12/2009,56
426,9/2013,6
203,10/2012,81
206,11/2011,12
297,4/2005,67
92,12/2008,87
192,8/2009,47
233,8/2007,15
235,7/2005,44
79,7/2010,16
294,2/2010,96
152,11/2009,7
335,7/2008,76
115,1/2008,77
445,6/2008,2
263,4/2011,50
173,1/2014,62
458,5/2013,79
66,2/2005,42
81,12/2014,29
