26,06-2010,09-2010,2
27,04-2006,06-2006,4
27,12-2006,11-2007,5
27,12-2007,11-2008,4
27,03-2009,01-2010,5
27,08-2010,02-2011,5
28,12-2005,04-2006,3
28,11-2006,04-2007,3
28,09-2007,04-2008,3
28,02-2009,04-2009,4
28,02-2010,12-2010,3
29,08-2005,12-2005,1
29,09-2006,10-2006,2
29,11-2006,04-2007,3
29,05-2007,01-2008,3
29,04-2008,07-2008,4
30,02-2005,06-2005,2
30,04-2006,09-2006,1
30,10-2006,05-2007,2
30,11-2007,11-2008,3
30,10-2009,06-2010,3
31,02-2006,08-2006,4
31,12-2006,06-2007,4
31,12-2007,11-2008,2
31,07-2009,04-2010,2
31,11-2010,06-2011,5
32,10-2006,07-2007,2
32,03-2008,02-2009,3
32,06-2009,10-2009,5
32,05-2010,03-2011,5
32,05-2011,04-2012,5
33,08-2007,09-2007,2
33,05-2008,12-2008,5
33,09-2009,03-2010,4
33,12-2010,11-2011,4
33,05-2012,#N/A,1
34,04-2006,03-2007,4
34,05-2007,08-2007,2
34,09-2007,10-2007,4
34,09-2008,01-2009,5
34,12-2009,02-2010,3
35,07-2007,10-2007,2
35,03-2008,06-2008,4
35,09-2008,01-2009,5
35,10-2009,09-2010,3
35,07-2011,12-2011,5
36,08-2005,09-2005,3
36,04-2006,02-2007,4
36,04-2007,08-2007,3
36,11-2007,05-2008,5
36,12-2008,11-2009,3
37,08-2007,01-2008,2
37,07-2008,02-2009,2
37,11-2009,05-2010,5
37,02-2011,11-2011,2
37,03-2012,01-2013,5
38,11-2005,02-2006,4
38,06-2006,01-2007,2
38,09-2007,09-2008,5
38,06-2009,06-2010,2
38,02-2011,11-2011,5
39,10-2005,08-2006,5
39,08-2007,01-2008,5
39,09-2008,04-2009,4
39,06-2009,01-2010,2
39,06-2010,11-2010,2
40,12-2007,08-2008,5
40,08-2009,12-2009,3
40,10-2010,03-2011,4
40,05-2011,05-2012,3
40,07-2012,12-2012,5
41,06-2007,08-2007,1
41,04-2008,09-2008,1
41,07-2009,12-2009,2
41,06-2010,08-2010,2
41,07-2011,11-2011,2
42,09-2005,08-2006,3
42,06-2007,04-2008,1
42,04-2009,02-2010,2
42,10-2010,09-2011,1
42,11-2011,02-2012,4
43,12-2007,07-2008,4
43,05-2009,03-2010,1
43,12-2010,02-2011,4
43,09-2011,11-2011,4
43,03-2012,10-2012,5
44,05-2006,07-2006,5
44,12-2006,09-2007,4
44,08-2008,02-2009,5
44,04-2009,09-2009,3
44,01-2010,12-2010,2
45,07-2007,12-2007,2
45,04-2008,10-2008,3
45,05-2009,11-2009,3
45,11-2010,04-2011,4
45,09-2011,09-2012,3
46,02-2006,05-2006,4
46,02-2007,12-2007,4
46,02-2008,08-2008,3
46,07-2009,11-2009,2
46,06-2010,01-2011,4
47,12-2005,07-2006,2
47,02-2007,09-2007,4
47,10-2007,10-2008,2
47,07-2009,08-2009,2
47,05-2010,11-2010,5
48,03-2005,05-2005,5
48,03-2006,03-2007,4
48,06-2007,03-2008,5
48,02-2009,09-2009,1
48,01-2010,12-2010,5
49,01-2006,10-2006,5
49,03-2007,10-2007,1
49,12-2007,06-2008,2
49,11-2008,02-2009,1
49,11-2009,04-2010,3
50,05-2006,08-2006,5
50,01-2007,10-2007,4
50,07-2008,12-2008,1
50,02-2009,05-2009,4
50,11-2009,05-2010,3
51,05-2006,08-2006,3
51,09-2006,05-2007,2
51,01-2008,05-2008,3
51,08-2008,03-2009,1
51,01-2010,10-2010,3
52,05-2005,07-2005,2
52,05-2006,07-2006,3
52,04-2007,01-2008,3
52,11-2008,03-2009,3
52,12-2009,05-2010,5
53,08-2007,04-2008,1
53,02-2009,05-2009,1
53,03-2010,07-2010,1
53,09-2010,01-2011,5
53,06-2011,12-2011,5
54,07-2006,12-2006,3
54,04-2007,06-2007,5
54,09-2007,03-2008,3
54,02-2009,10-2009,1
54,02-2010,11-2010,1
55,05-2006,01-2007,2
55,01-2008,07-2008,3
55,11-2008,08-2009,4
55,12-2009,04-2010,1
55,04-2011,10-2011,2
56,08-2007,10-2007,3
56,07-2008,01-2009,2
56,11-2009,04-2010,5
56,11-2010,05-2011,5
56,11-2011,04-2012,1
57,05-2005,09-2005,3
57,02-2006,12-2006,3
57,08-2007,01-2008,2
57,01-2009,01-2010,4
57,09-2010,07-2011,3
58,02-2005,01-2006,2
58,06-2006,12-2006,5
58,09-2007,01-2008,1
58,07-2008,12-2008,3
58,09-2009,08-2010,4
59,09-2005,12-2005,5
59,03-2006,08-2006,2
59,05-2007,08-2007,1
59,12-2007,02-2008,2
59,06-2008,07-2008,1
60,11-2005,12-2005,5
60,07-2006,03-2007,3
60,10-2007,10-2008,1
60,10-2009,04-2010,5
60,09-2010,10-2010,3
61,03-2005,12-2005,5
61,03-2006,10-2006,4
61,12-2006,04-2007,1
61,06-2007,06-2008,5
61,11-2008,06-2009,5
62,09-2006,01-2007,2
62,09-2007,06-2008,5
62,05-2009,10-2009,1
62,04-2010,07-2010,2
62,11-2010,08-2011,3
63,11-2005,05-2006,4
63,10-2006,05-2007,1
63,04-2008,09-2008,4
63,09-2009,12-2009,2
63,08-2010,08-2011,3
,,,
,,,
,,,
,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
